Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Majumdar, S; Schwarzmann, S; Trivisonno, R; Carle, G",,"Hong, JWK; Seok, SJ; Nomura, Y; Wang, YC; Choi, BY; Kim, MS; Riggio, R; Tsai, MH; DosSantos, CRP",,"Majumdar, Sayantini; Schwarzmann, Susanna; Trivisonno, Riccardo; Carle, Georg",,,Distributed Intelligence for Automated 6G Network Management Using Reinforcement Learning,"PROCEEDINGS OF 2024 IEEE/IFIP NETWORK OPERATIONS AND MANAGEMENT SYMPOSIUM, NOMS 2024",IEEE IFIP Network Operations and Management Symposium,,,,IEEE/IFIP Network Operations and Management Symposium (NOMS),"MAY 06-10, 2024","Seoul, SOUTH KOREA",IEEE,,,,,,,,,,"Trivisonno, Riccardo/0000-0003-4190-5781",,,,,,,,,,,,,1542-1201,,979-8-3503-2793-9; 979-8-3503-2794-6,,,,2024,,,,,,,,,,10.1109/NOMS59830.2024.10575318,0.0,,,,,,,,,,,,,WOS:001270140300085,0
C,"Aloupogianni, E; Karyotis, C; Maniak, T; Iqbal, R; Passas, N; Vujicic, Z; Doctor, F",,,IEEE COMPUTER SOC,"Aloupogianni, Eleni; Karyotis, Charalampos; Maniak, Tomasz; Iqbal, Rahat; Passas, Nikos; Vujicic, Zoran; Doctor, Faiyaz",,,Network Slicing for Beyond 5G Networks using Machine Learning,"2024 IEEE 24TH INTERNATIONAL SYMPOSIUM ON CLUSTER, CLOUD AND INTERNET COMPUTING WORKSHOPS, CCGRIDW 2024",,,,,"24th IEEE/ACM International Symposium on Cluster, Cloud, and Internet Computing (CCGrid)","MAY 06-09, 2024",PA,"IEEE,IEEE Comp Soc,ACM",,,,,,,,,"ALOUPOGIANNI, ELENI/IAN-9025-2023; Maniak, Tomasz/Y-8423-2019","ALOUPOGIANNI, ELENI/0000-0002-2183-312X",,,,,,,,,,,,,,,979-8-3503-7752-1; 979-8-3503-7751-4,,,,2024,,,,,,,197.0,200.0,,10.1109/CCGridW63211.2024.00031,0.0,,,,,,,,,,,,,WOS:001334601900025,0
C,"Ma, LF; Cheng, N; Wang, XC; Sun, RJ; Lu, N",,,IEEE,"Ma, Longfei; Cheng, Nan; Wang, Xiucheng; Sun, Ruijin; Lu, Ning",,,On-Demand Resource Management for 6G Wireless Networks Using Knowledge-Assisted Dynamic Neural Networks,IEEE INTERNATIONAL CONFERENCE ON COMMUNICATIONS (ICC 2022),IEEE International Conference on Communications,,,,IEEE International Conference on Communications (ICC),"MAY 16-20, 2022","Seoul, SOUTH KOREA","IEEE,Samsung,LG,Huawei,Qualcomm,Technol Innovat Inst,ZTE,Elect & Telecommunicat Res Inst,KMW,SOLiD,ERICSSON LG,NI",,,,,,,,,"Lu, Ning/AFC-9176-2022; Cheng, Nan/JXM-1078-2024; Sun, Ruijin/LPQ-0238-2024","Wang, Xiucheng/0000-0003-1439-4875",,,,,,,,,,,,,1550-3607,,978-1-5386-8347-7,,,,2022,,,,,,,,,,10.1109/ICC45855.2022.9882279,0.0,,,,,,,,,,,,,WOS:000864709901049,0
J,"Chinnasamy, P; Babu, GC; Ayyasamy, RK; Amutha, S; Sinha, K; Balaram, A",,,,"Chinnasamy, Ponnusamy; Babu, G. Charles; Ayyasamy, Ramesh Kumar; Amutha, S.; Sinha, Keshav; Balaram, Allam",,,Blockchain 6G-Based Wireless Network Security Management with Optimization Using Machine Learning Techniques,SENSORS,,,,,,,,,,,,,,,,,"G, CHARLES/ABH-2999-2022; Allam, Balaram/GQZ-5967-2022; Ayyasamy, Ramesh Kumar/R-9169-2017; Ponnusamy, Chinnasamy/W-8274-2018; SINHA, KESHAV/C-6559-2017; ALLAM, BALARAM/X-4176-2018","Ayyasamy, Ramesh Kumar/0000-0002-3538-3887; Ponnusamy, Chinnasamy/0000-0002-3202-4299; SINHA, KESHAV/0000-0003-1053-3911; ALLAM, BALARAM/0000-0002-2312-2700",,,,,,,,,,,,,,1424-8220,,,,SEP,2024,24.0,18,,,,,,,6143,10.3390/s24186143,0.0,,,,,,,,39338888.0,,,,,WOS:001323504800001,0
J,"Wang, YZ; Chen, KC; Gong, ZZ; Cui, QM; Tao, XF; Zhang, P",,,,"Wang, Yingze; Chen, Kwang-Cheng; Gong, Zhenzhen; Cui, Qimei; Tao, Xiaofeng; Zhang, Ping",,,Reliability-Guaranteed Uplink Resource Management in Proactive Mobile Network for Minimal Latency Communications,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,,,,,,,,,,,,,,,,,"Wang, Yingze/U-4609-2019; Wang, Yingze/G-4775-2019","Chen, Kwang-Cheng/0000-0002-1024-6106; Wang, Yingze/0000-0002-5966-7139",,,,,,,,,,,,,1536-1276,1558-2248,,,,AUG,2023,22.0,8,,,,,5018.0,5030.0,,10.1109/TWC.2022.3231319,0.0,,,,,,,,,,,,,WOS:001050132500003,0
J,"Noman, HMF; Hanafi, E; Noordin, KA; Dimyati, K; Hindia, MN; Abdrabou, A; Qamar, F",,,,"Noman, Hafiz Muhammad Fahad; Hanafi, Effariza; Noordin, Kamarul Ariffin; Dimyati, Kaharudin; Hindia, Mhd Nour; Abdrabou, Atef; Qamar, Faizan",,,"Machine Learning Empowered Emerging Wireless Networks in 6G: Recent Advancements, Challenges and Future Trends",IEEE ACCESS,,,,,,,,,,,,,,,,,"Qamar, Faizan/AAM-2177-2020; Dimyati, Kaharudin/AAU-2370-2021; Noordin, Kamarul Ariffin/B-7751-2010; Hanafi, Effariza/N-1534-2015","Noman, Hafiz Muhammad Fahad/0000-0001-8507-5383; Noordin, Kamarul Ariffin/0000-0003-4003-4793; Qamar, Dr. Faizan/0000-0002-0390-7842; Hanafi, Effariza/0000-0001-6384-0435",,,,,,,,,,,,,2169-3536,,,,,,2023,11.0,,,,,,83017.0,83051.0,,10.1109/ACCESS.2023.3302250,0.0,,,,,,,,,,,,,WOS:001047225800001,0
C,"Grasso, C; Raftopoulos, R; Schembra, G",,,IEEE,"Grasso, Christian; Raftopoulos, Raoul; Schembra, Giovanni",,,Tailoring FANET-Based 6G Network Slices in Remote Areas for Low-Latency Applications,2022 IFIP NETWORKING CONFERENCE (IFIP NETWORKING),,,,,IFIP Networking Conference (IFIP Networking),"JUN 13-16, 2022","Catania, ITALY","IEEE,IFIP TC6,Consorzio Nazl Interuniversitario Telecomunicazioni,IEEE COMSOC",,,,,,,,,"Raftopoulos, Raoul/KUD-2047-2024; Schembra, Giovanni/AAA-3947-2021",,,,,,,,,,,,,,,,978-3-903176-48-5,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,WOS:000855528800048,0
J,"Du, X; Wang, T; Feng, Q; Ye, CH; Tao, T; Wang, L; Shi, YM; Chen, MS",,,,"Du, Xiao; Wang, Ting; Feng, Qiang; Ye, Chenhui; Tao, Tao; Wang, Lu; Shi, Yuanming; Chen, Mingsong",,,Multi-Agent Reinforcement Learning for Dynamic Resource Management in 6G in-X Subnetworks,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,,,,,,,,,,,,,,,,,"Shi, Yuanming/LSK-2577-2024; Wang, Ting/ABG-3298-2022; Tao, Tao/KFQ-9200-2024","Wang, Ting/0000-0002-7223-8849; WANG, Lu/0000-0001-6345-3873; SHI, Yuanming/0000-0002-1418-7465; Tao, Tao/0000-0002-7672-4043",,,,,,,,,,,,,1536-1276,1558-2248,,,,MAR,2023,22.0,3,,,,,1900.0,1914.0,,10.1109/TWC.2022.3207918,0.0,,,,,,,,,,,,,WOS:001049998100029,0
J,"Huang, J; Yang, C; Zhang, SL; Yang, F; Alfarraj, O; Frascolla, V; Mumtaz, S; Yu, KP",,,,"Huang, Jie; Yang, Cheng; Zhang, Shilong; Yang, Fan; Alfarraj, Osama; Frascolla, Valerio; Mumtaz, Shahid; Yu, Keping",,,Reinforcement Learning Based Resource Management for 6G-Enabled mIoT With Hypergraph Interference Model,IEEE TRANSACTIONS ON COMMUNICATIONS,,,,,,,,,,,,,,,,,"Frascolla, Valerio/U-3668-2019; zhang, shilong/GWF-3554-2022; , cbird917/AAF-8068-2020; Huang, Jie/KHZ-4410-2024; Yang, Cheng/IXN-3974-2023; Mumtaz, Prof Shahid/V-3603-2019; Yu, Keping/GVT-7847-2022","Yang, Cheng/0009-0004-7646-8344; Mumtaz, Prof Shahid/0000-0001-6364-6149; Fan, Yang/0000-0003-0019-0492; Yu, Keping/0000-0001-5735-2507",,,,,,,,,,,,,0090-6778,1558-0857,,,,JUL,2024,72.0,7,,,,,4179.0,4192.0,,10.1109/TCOMM.2024.3372892,0.0,,,,,,,,,,,,,WOS:001273957600024,0
C,"Ameur, M; Brik, B; Ksentini, A",,,IEEE,"Ameur, Mazene; Brik, Bouziane; Ksentini, Adlen",,,Leveraging LLMs to eXplain DRL Decisions for Transparent 6G Network Slicing,"2024 IEEE 10TH INTERNATIONAL CONFERENCE ON NETWORK SOFTWARIZATION, NETSOFT 2024",IEEE Conference on Network Softwarization,,,,10th International Conference on Network Softwarization (NetSoft),"JUN 24-28, 2024","Saint Louis, MO",IEEE,,,,,,,,,,,,,,,,,,,,,,,2693-9770,,979-8-3503-6958-8; 979-8-3503-6959-5,,,,2024,,,,,,,204.0,212.0,,10.1109/NetSoft60951.2024.10588921,0.0,,,,,,,,,,,,,WOS:001270869700042,0
